번호,사업명,발주기관,수요기관,예산액,예산(만원),예산(억),발주시기,계약방법,업종,재량여부,지역,담당자,연락처
R26DD20667200,하성면 가금리 604 일원 배수로 정비공사,경기도 김포시,경기도,191995000,19200,1.92,2026-02-25 13:38:28,수의계약,기타,재량계약,경기도,오병관,031-980-2431
R26DD20667193,2026년 가로수 전정 및 관리사업(초동면 범평리 일원),경상남도 밀양시,경상남도,42130000,4213,0.42,2026-02-25 13:37:35,수의계약,기타,소액수의,경상남도,엄영식,055-359-5146
R26DD20666228,선산출장소 주차장 정비공사,경상북도 구미시,경상북도,126900000,12690,1.27,2026-02-24 18:24:59,수의계약,기타,재량계약,경상북도,김재현,054-480-5733
R26DD20666185,청도읍연곡천재해복구사업,경상북도 청도군,경상북도,119000000,11900,1.19,2026-02-24 18:01:06,수의계약,기타,재량계약,경상북도,전승목,054-370-2332
R26DD20666174,영인면 역1리 호우피해 복구공사,충청남도 아산시,충청남도,50000000,5000,0.5,2026-02-24 17:54:57,수의계약,기타,소액수의,충청남도,김상윤,041-540-2568
R26DD20667186,화서 상현리 세천정비공사,경상북도 상주시,경상북도,157300000,15730,1.57,2026-02-25 13:36:38,수의계약,기타,재량계약,경상북도,채종규,054-537-6132
R26DD20666691,외동 입실~개곡간 도로확포장공사(2차),경상북도 경주시,경상북도,461276000,46128,4.61,2026-02-25 09:42:35,수의계약,토목공사,일반경쟁,경상북도,이영숙,054-779-6762
R26DD20666681,국도3호선 대체우회도로(민락2지구) 소음저감시설 설치공사 5차,국토교통부 서울지방국토관리청,국토교통부,0,0,0,2026-02-25 09:37:38,,토목공사,금액미정,,이건호호,02-2110-6808
R26DD20666677,신의 상동지구 소규모 배수개선사업,전라남도 신안군,전라남도,750718000,75072,7.51,2026-02-25 09:36:15,제한경쟁,기타,일반경쟁,전라남도,정충호,061-240-8475
R26DD20666635,시종면 만수리 침수지구 배수개선사업,전라남도 영암군,전라남도,1199610000,119961,12.0,2026-02-25 09:22:01,제한경쟁,기타,일반경쟁,전라남도,김은중,061-470-2619
R26DD20667102,국지도 82호선(금성~연금리조트) 확장사업 상수관로 이설공사(성내리 111-6 일원),충청북도 제천시 수도사업소,충청북도,236488000,23649,2.36,2026-02-25 13:10:43,수의계약,기타,일반경쟁,충청북도,강석민,043-641-3646
R26DD20667079,정안면 산성리(111-2)마을안길 포장공사,충청남도 공주시,충청남도,42600000,4260,0.43,2026-02-25 12:18:19,수의계약,토목공사,소액수의,충청남도,오윤정,041-840-7613
R26DD20666581,목리1저류지 퇴적토 정비 공사,지방자치단체조합 충남혁신도시관리본부,충청남도,44790000,4479,0.45,2026-02-25 09:00:46,수의계약,기타,소액수의,충청남도,이선영,041-634-0143
R26DD20666139,여천 파크골프장 조성공사,울산광역시도시공사,울산광역시,6498020000,649802,64.98,2026-02-24 17:43:34,제한경쟁,기타,일반경쟁,울산광역시,손일호,052-219-8400
R26DD20666094,크리에이티브 허브 공간 방수공사,경상남도 통영시,경상남도,65374040,6537,0.65,2026-02-24 17:24:18,수의계약,기타,재량계약,경상남도,옥치훈,055-650-4513
R26DD20666087,증평수질개선사업소 호기조 터보송풍기 수선,충청북도 증평군 수도사업소,충청북도,20692000,2069,0.21,2026-02-24 17:19:00,수의계약,기타,소액수의,충청북도,권오승,043-835-4093
R26DD20666075,2025년 사곡면 유룡리(733-6) 용수골천 소하천 재해복구사업,충청남도 공주시,충청남도,172000000,17200,1.72,2026-02-24 17:13:07,수의계약,토목공사,재량계약,충청남도,전영희,041-840-7623
R26DD20666055,자란도 소규모어항시설(방파제) 연장사업,경상남도 고성군,경상남도,116600000,11660,1.17,2026-02-24 17:08:15,수의계약,기타,재량계약,경상남도,배기철,055-670-4674
R26DD20667066,2026년 산림사업의 관리업무대행 조림사업(산림재해방지림),거창군산림조합,거창군산림조합,24848000,2485,0.25,2026-02-25 11:45:27,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667065,2026년 산림사업의 관리업무대행 조림사업(내화수림대),거창군산림조합,거창군산림조합,19612000,1961,0.2,2026-02-25 11:45:27,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667064,2026년 산림사업의 관리업무대행 조림사업(큰나무공익),거창군산림조합,거창군산림조합,33084000,3308,0.33,2026-02-25 11:45:26,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667063,2026년 산림사업의 관리업무대행 조림사업(북상위천지구),거창군산림조합,거창군산림조합,87045000,8704,0.87,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667062,2026년 산림사업의 관리업무대행 조림사업(북상소정지구),거창군산림조합,거창군산림조합,69338000,6934,0.69,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667061,2026년 산림사업의 관리업무대행 조림사업(고제개명지구),거창군산림조합,거창군산림조합,84091000,8409,0.84,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667060,2026년 산림사업의 관리업무대행 조림사업(고제궁항지구),거창군산림조합,거창군산림조합,73823000,7382,0.74,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667059,2026년 산림사업의 관리업무대행 조림사업(고제봉산지구),거창군산림조합,거창군산림조합,70173000,7017,0.7,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667058,2026년 산림사업의 관리업무대행 조림사업(주상외지구),거창군산림조합,거창군산림조합,90486000,9049,0.9,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667057,2026년 산림사업의 관리업무대행 조림사업(가조지구),거창군산림조합,거창군산림조합,69808000,6981,0.7,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667056,2026년 산림사업의 관리업무대행 조림사업(가북지구),거창군산림조합,거창군산림조합,86730000,8673,0.87,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667055,2026년 산림사업의 관리업무대행 조림사업(가북외지구),거창군산림조합,거창군산림조합,60338000,6034,0.6,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667047,"2026년 상반기 소나무재선충병 방제사업(나무주사, 기번2)",산림청 동부지방산림청 삼척국유림관리소,산림청,74688000,7469,0.75,2026-02-25 11:35:18,지명경쟁,기타,재량계약,강원특별자치도,유남식,033-570-5226
R26DD20667035,통영지점 전체 레이아웃 건축공사,중소기업은행,중소기업은행,432300000,43230,4.32,2026-02-25 11:30:00,지명경쟁,건축공사,일반경쟁,경상남도,오예나,02-729-7458
R26DD20666028,오치2동 커뮤니티센터 건립공사(건축+기계),광주광역시 북구,광주광역시,1047858000,104786,10.48,2026-02-24 17:01:02,제한경쟁,건축공사,일반경쟁,광주광역시,한승윤,062-410-8471
R26DD20665941,2026년 차선유지관리공사 단가계약(3권역),광주광역시 광산구,광주광역시,99023000,9902,0.99,2026-02-24 16:35:18,제한경쟁,기타,재량계약,광주광역시,김예림,062-960-8633
R26DD20665913,지반침하 등 안전사고 예방을 위한 노후하수도 정비공사,광주광역시 광산구,광주광역시,273290000,27329,2.73,2026-02-24 16:28:27,제한경쟁,기타,일반경쟁,광주광역시,송건,062-960-8574
R26DD20665871,영등포구청(5)역 등 2개소 전기실 기계설비 개량공사,서울교통공사,서울특별시,68714800,6871,0.69,2026-02-24 16:10:35,제한경쟁,전기공사,재량계약,서울특별시,서혁진,02-6110-5784
R26DD20667022,망정소하천 하상정비공사,경상북도 칠곡군,경상북도,45000000,4500,0.45,2026-02-25 11:27:58,수의계약,토목공사,소액수의,경상북도,박민광,054-979-6794
R26DD20667011,"2026년 당진시(송악,송산) 지방도 배수시설 정비공사",충청남도 건설본부 건설사업부 북부사무소,충청남도,91000000,9100,0.91,2026-02-25 11:23:34,수의계약,기타,재량계약,충청남도,박준열,041-635-7415
R26DD20666998,갈산동 화물차 공영차고지 조성사업 성토공사 ,경기도 이천시,경기도,53085617,5309,0.53,2026-02-25 11:19:55,수의계약,기타,재량계약,경기도,이수아,031-644-2296
R26DD20666996,2026년 태화강국가정원 계절정원 제초관리 사업,울산광역시,울산광역시,156966000,15697,1.57,2026-02-25 11:19:29,수의계약,기타,재량계약,울산광역시,장용운,052-229-7577
R26DD20666971,북면 오곡1리 수해복구공사,충청남도 천안시,충청남도,99530600,9953,1.0,2026-02-25 11:07:43,수의계약,기타,재량계약,충청남도,이상곤,041-521-5492
R26DD20665825,군도2호선(냉정리 563-6~918-1번지 일원) 보행자도로 정비공사,인천광역시 강화군,인천광역시,147180000,14718,1.47,2026-02-24 15:54:14,수의계약,토목공사,재량계약,인천광역시,도로교통시설팀,032-930-3738
R26DD20665824,소각로 및 부대시설 세정 공사,대구공공시설관리공단 성서사업처,대구광역시,134200000,13420,1.34,2026-02-24 15:53:57,일반경쟁,기타,재량계약,대구광역시,이성수,053-605-8403
R26DD20665817,2026년 김포 문수산성 경관조명 설치공사,경기도 김포시,경기도,120407790,12041,1.2,2026-02-24 15:51:45,수의계약,전기공사,재량계약,경기도,조진희,031-980-2114
R26DD20665801,2026년 신규 소화전 설치공사(남부),경기도 평택시 상하수도사업소,경기도,104370000,10437,1.04,2026-02-24 15:45:00,수의계약,소방공사,재량계약,경기도,유신,031-8024-5163
R26DD20665791,임실군 국가생태탐방로 조성사업,전북특별자치도 임실군,전북특별자치도,3079733000,307973,30.8,2026-02-24 15:41:12,제한경쟁,기타,일반경쟁,전북특별자치도,생태개발팀원,063-640-4564
R26DD20665726,2026년 부천시 하수시설물 준설공사(단가1차),경기도 부천시,경기도,96585000,9658,0.97,2026-02-24 15:12:58,수의계약,기타,재량계약,경기도,김범수,032-625-4974
R26DD20666945,안양면 고당마을 배수로 설치공사,전라남도 장흥군,전라남도,35000000,3500,0.35,2026-02-25 10:52:36,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666921,노꼬메오름 국가생태탐방로 조성사업,제주특별자치도 제주시,제주특별자치도,1666068000,166607,16.66,2026-02-25 10:34:43,제한경쟁,기타,일반경쟁,제주특별자치도,문정현,064-728-3124
R26DD20666914,원도심(중앙로·중정로) 가로등 개선 사업(1차),제주특별자치도 서귀포시,제주특별자치도,274050000,27405,2.74,2026-02-25 10:29:49,수의계약,기타,일반경쟁,제주특별자치도,오재석,064-760-2082
R26DD20666907,2026년 상반기 도시숲(2권역) 연중관리 공사,경기도 의왕시,경기도,69949000,6995,0.7,2026-02-25 10:27:48,수의계약,기타,재량계약,경기도,유세리,031-345-3833
R26DD20665707,왕숙천(벼락소) 징검다리 복구 공사,경기도 남양주시 공원녹지관리사업소,경기도,461840000,46184,4.62,2026-02-24 15:04:37,수의계약,기타,일반경쟁,경기도,김남윤,031-590-2842
R26DD20666873,2026년 계류보전 사업,울산광역시 동구,울산광역시,166309000,16631,1.66,2026-02-25 10:15:05,수의계약,기타,재량계약,울산광역시,서인호,052-209-3764
R26DD20666867,2026년 배전선로 근접 가로수 가지치기 사업,서울특별시 구로구,서울특별시,317400000,31740,3.17,2026-02-25 10:13:46,제한경쟁,전기공사,일반경쟁,서울특별시,정은지,02-860-2340
R26DD20666855,운정호수공원 노후산책로 정비공사,경기도 파주시,경기도,171460000,17146,1.71,2026-02-25 10:08:28,수의계약,기타,재량계약,경기도,우용희,031-940-4986
R26DD20666854,2026년 소나무재선충병 방제사업(예방나무주사),산림청 북부지방산림청 인제국유림관리소,산림청,24621000,2462,0.25,2026-02-25 10:08:10,수의계약,기타,소액수의,강원특별자치도,김남호,033-460-8023
R26DD20666703,2026년 청원구 노후 가로등 LED 교체 공사,충청북도 청주시 청원구,충청북도,298660000,29866,2.99,2026-02-25 09:45:55,수의계약,기타,일반경쟁,충청북도,이민석,043-201-8355
R26DD20666700,2026년 청원구 노후 가로·보안등 LED 교체 공사,충청북도 청주시 청원구,충청북도,198610000,19861,1.99,2026-02-25 09:45:23,수의계약,기타,재량계약,충청북도,이민석,043-201-8355
R26DD20666671,국도13호선 해남 구시터널 제연설비 보강공사(전기),국토교통부 익산지방국토관리청 광주국토관리사무소,국토교통부,1122200000,112220,11.22,2026-02-25 09:33:25,제한경쟁,전기공사,일반경쟁,전라남도,박수아,062-970-6313
R26DD20666670,금빛도서관 동화구연실 조성 공사,충청북도 청주시 도서관평생학습본부,충청북도,9280000,928,0.09,2026-02-25 09:33:16,수의계약,기타,소액수의,충청북도,박민희,043-201-4053
R26DD20666664,국도13호선 해남 구시터널 제연설비 보강공사,국토교통부 익산지방국토관리청 광주국토관리사무소,국토교통부,1113200000,111320,11.13,2026-02-25 09:32:27,제한경쟁,기타,일반경쟁,전라남도,박수아,062-970-6313
R26DD20666652,[긴급]세명컴퓨터고-2026년도 신관동/승강기설치 입찰 공고,서울특별시교육청 세명컴퓨터고등학교,서울특별시교육청,316870000,31687,3.17,2026-02-25 09:27:11,제한경쟁,기타,일반경쟁,서울특별시,김상협,02-354-1322
R26DD20666603,야미도 어촌뉴딜300사업(토목) 전기공사,한국농어촌공사 전북지역본부 군산지사,한국농어촌공사,139067000,13907,1.39,2026-02-25 09:11:09,수의계약,전기공사,재량계약,전북특별자치도,박은미,063-440-5915
R26DD20666524,삼남 방기 560-12번지 일원(소2-35호) 도로개설공사,울산광역시 울주군,울산광역시,710480000,71048,7.1,2026-02-25 06:33:13,제한경쟁,토목공사,일반경쟁,울산광역시,송성민,052-204-2432
R26DD20666424,유치면 관동지구 배수로 정비사업,전라남도 장흥군,전라남도,36720000,3672,0.37,2026-02-24 22:50:43,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666417,부산면 금자리 배수로 정비공사,전라남도 장흥군,전라남도,45000000,4500,0.45,2026-02-24 22:09:52,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666405,진평동 인동20길 일원 도로정비공사,경상북도 구미시,경상북도,176180000,17618,1.76,2026-02-24 21:44:35,수의계약,토목공사,재량계약,경상북도,강민준,054-480-5485
R26DD20667416,2026년 강서 읍면지역 상수도 긴급 복구공사 단가계약(2차),경상북도 구미시 상하수도사업본부,경상북도,96600000,9660,0.97,2026-02-25 14:42:46,수의계약,기타,재량계약,경상북도,김금섭,054-480-4468
R26DD20667408,장흥 월평 배수로 수해복구공사,전라남도 장흥군,전라남도,34970000,3497,0.35,2026-02-25 14:39:33,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666723,2026년 관광시설물 유지보수 공사(연간단가계약),울산광역시 북구,울산광역시,75350000,7535,0.75,2026-02-25 09:52:53,수의계약,기타,재량계약,울산광역시,정희수,052-241-7743
R26DD20666633,2026년 공영주차장 유지보수공사(연간단가),서울특별시 서초구,서울특별시,1054000000,105400,10.54,2026-02-25 09:21:04,제한경쟁,기타,일반경쟁,서울특별시,이광인,02-2155-6500
R26DD20666223,무을면 무이리 세천정비공사,경상북도 구미시,경상북도,99950000,9995,1.0,2026-02-24 18:18:53,수의계약,기타,재량계약,경상북도,김재현,054-480-5733
R26DD20666209,무을면 오가3리 마을안길 개선공사,경상북도 구미시,경상북도,34540000,3454,0.35,2026-02-24 18:10:38,수의계약,기타,소액수의,경상북도,김재현,054-480-5733
R26DD20666192,국도42호선 횡성 안흥-방림 도로건설 정보통신공사(2차),국토교통부 원주지방국토관리청,국토교통부,0,0,0,2026-02-24 18:03:49,,정보통신공사,금액미정,,이준범,033-769-5723
R26DD20666110,2026년 관내 하천 자전거 및 보행자도로 정비공사(연간단가),서울특별시 송파구,서울특별시,151200000,15120,1.51,2026-02-24 17:32:09,제한경쟁,토목공사,재량계약,서울특별시,이혜영,02-2147-2483
R26DD20666100,효령면 장기1리 압실보 용수로 개체공사,대구광역시 군위군,대구광역시,109900000,10990,1.1,2026-02-24 17:26:12,수의계약,기타,재량계약,대구광역시,장용진,054-380-6372
R26DD20665908,어룡 박호동 배수로 호우피해 복구사업(총괄 및 1차분),광주광역시 광산구,광주광역시,255590000,25559,2.56,2026-02-24 16:26:55,제한경쟁,기타,일반경쟁,광주광역시,안승현,062-960-8506
R26DD20665906,서원구청 LED 실내조명등 교체 공사,충청북도 청주시 서원구,충청북도,20731240,2073,0.21,2026-02-24 16:25:52,수의계약,전기공사,소액수의,충청북도,허문원,043-201-6045
R26DD20665867,사이클로 감속기 교체,(주)리뉴시스템,(주)리뉴시스템,80400000,8040,0.8,2026-02-24 16:09:03,일반경쟁,기타,재량계약,경기도,정지웅,02-414-0700
R26DD20665833,분당선 서울숲역 등 7개역 에스컬레이터 스텝체인 부품 개량공사,한국철도공사 회계통합센터,한국철도공사 회계통합센터,283789000,28379,2.84,2026-02-24 15:57:33,제한경쟁,기타,일반경쟁,서울특별시,김민철,02-3299-7740
R26DD20665805,여성 친화도시 조성을 위한 보안등 LED 교체공사,충청북도 청주시 서원구,충청북도,56979000,5698,0.57,2026-02-24 15:46:58,수의계약,기타,재량계약,충청북도,이유찬,043-201-6042
R26DD20665761,KAIST 김재철 AI대학원 신축공사(건축),한국과학기술원,과학기술정보통신부,43580606000,4358061,435.81,2026-02-24 15:28:25,수의계약,건축공사,일반경쟁,대전광역시,임정빈,042-350-2331
R26DD20665715,2026년 용연수질개선사업소 조경관리공사,울산광역시,울산광역시,128370000,12837,1.28,2026-02-24 15:07:04,수의계약,조경공사,재량계약,울산광역시,성창섭,052-229-5942
R26DD20665676,칠금동2공영주차장철거공사,충청북도 충주시,충청북도,481770000,48177,4.82,2026-02-24 14:55:37,제한경쟁,기타,일반경쟁,충청북도,최정희,043-850-0000
R26DD20666349,2026년 공원 내 잔디관리공사(남양),경기도 화성시 공원녹지사업소,경기도,276685000,27668,2.77,2026-02-24 20:14:01,제한경쟁,기타,일반경쟁,경기도,김승현,031-5189-6629
R26DD20666333,연일전통시장 환경개선공사,경상북도 포항시,경상북도,387917000,38792,3.88,2026-02-24 20:03:00,수의계약,기타,일반경쟁,경상북도,박승일,054-270-2436
R26DD20666305,두동 구미리(93-2) 뒷골지저수지 구거정비공사,울산광역시 울주군,울산광역시,48290000,4829,0.48,2026-02-24 19:42:34,수의계약,기타,소액수의,울산광역시,김희정,052-204-1553
R26DD20666294,안양 풍암지구 기계화 경작로 확포장공사,전라남도 장흥군,전라남도,30000000,3000,0.3,2026-02-24 19:32:02,수의계약,토목공사,소액수의,전라남도,최준환,061-860-6151
R26DD20666253,창평초 다목적강당 지붕누수 보수공사,전라남도교육청 전라남도담양교육지원청,전라남도교육청,51865000,5186,0.52,2026-02-24 18:45:15,수의계약,기타,재량계약,전라남도,김광식,061-380-8161
R26DD20666052,화원 성산1리(삼주아파트 뒤편) 도시계획도로 개설,대구광역시 달성군,대구광역시,888206000,88821,8.88,2026-02-24 17:07:48,제한경쟁,토목공사,일반경쟁,대구광역시,최주헌,053-668-3043
R26DD20666047,2026년 도로시설물 유지보수공사(연간단가),서울특별시 송파구,서울특별시,346690000,34669,3.47,2026-02-24 17:06:23,제한경쟁,토목공사,일반경쟁,서울특별시,이혜영,02-2147-2483
R26DD20666045,2026년 2권역 비아스팔트포장 긴급복구공사(연간계약),대구광역시 달성군,대구광역시,316050000,31605,3.16,2026-02-24 17:05:17,제한경쟁,토목공사,일반경쟁,대구광역시,한경희,053-668-5363
R26DD20666017,외동 1416번지 일원 노후관로 교체공사,경상남도 김해시,경상남도,1255500000,125550,12.55,2026-02-24 16:58:42,제한경쟁,기타,일반경쟁,경상남도,도미현,055-330-3883
R26DD20665970,국도38호선 태안3권역 포장도 보수공사,국토교통부 대전지방국토관리청 예산국토관리사무소,국토교통부,732160000,73216,7.32,2026-02-24 16:43:26,제한경쟁,토목공사,일반경쟁,충청남도,김원채,041-330-6517
R26DD20665652,2026년 진도군 슬레이트 지붕해체 철거공사(1권역),사단법인 수생태보전협의회,사단법인 수생태보전협의회,174664730,17466,1.75,2026-02-24 14:50:44,수의계약,기타,재량계약,전라남도,한승완,062-674-9150
R26DD20665649,2026년 운정호수공원 잔디생육개선 연간단가 공사,경기도 파주시,경기도,77600000,7760,0.78,2026-02-24 14:49:50,수의계약,기타,재량계약,경기도,박현준,031-940-8710
R26DD20667411,흥남해수욕장 공중화장실 신축 전기공사,경상남도 거제시,경상남도,59480580,5948,0.59,2026-02-25 14:40:45,수의계약,전기공사,재량계약,경상남도,김효인,055-639-3526
R26DD20667198,2026년 가로수 전정 및 관리사업(하남읍 수산리 일원),경상남도 밀양시,경상남도,61710000,6171,0.62,2026-02-25 13:38:12,수의계약,기타,재량계약,경상남도,엄영식,055-359-5146
R26DD20667189,2026년 관내 하수시설물 유지보수공사(연간단가),서울특별시 광진구,서울특별시,2131000000,213100,21.31,2026-02-25 13:37:10,일반경쟁,기타,일반경쟁,서울특별시,이도영,02-450-7894
R26DD20667178,북문 남적동 옹벽 설치공사,경상북도 상주시,경상북도,138550000,13855,1.39,2026-02-25 13:34:00,수의계약,기타,재량계약,경상북도,채종규,054-537-6132
R26DD20667165,문장대 야영장 내 편의시설 확충 전기공사,경상북도 상주시,경상북도,53944000,5394,0.54,2026-02-25 13:31:30,수의계약,전기공사,재량계약,경상북도,채종규,054-537-6132
