번호,사업명,발주기관,수요기관,예산액,예산(만원),예산(억),발주시기,계약방법,업종,재량여부,지역,담당자,연락처
R26DD20666075,2025년 사곡면 유룡리(733-6) 용수골천 소하천 재해복구사업,충청남도 공주시,충청남도,172000000,17200,1.72,2026-02-24 17:13:07,수의계약,토목공사,재량계약,충청남도,전영희,041-840-7623
R26DD20666055,자란도 소규모어항시설(방파제) 연장사업,경상남도 고성군,경상남도,116600000,11660,1.17,2026-02-24 17:08:15,수의계약,기타,재량계약,경상남도,배기철,055-670-4674
R26DD20667066,2026년 산림사업의 관리업무대행 조림사업(산림재해방지림),거창군산림조합,거창군산림조합,24848000,2485,0.25,2026-02-25 11:45:27,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667065,2026년 산림사업의 관리업무대행 조림사업(내화수림대),거창군산림조합,거창군산림조합,19612000,1961,0.2,2026-02-25 11:45:27,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667064,2026년 산림사업의 관리업무대행 조림사업(큰나무공익),거창군산림조합,거창군산림조합,33084000,3308,0.33,2026-02-25 11:45:26,수의계약,기타,소액수의,경상남도,송현민,055-944-7531
R26DD20667063,2026년 산림사업의 관리업무대행 조림사업(북상위천지구),거창군산림조합,거창군산림조합,87045000,8704,0.87,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667062,2026년 산림사업의 관리업무대행 조림사업(북상소정지구),거창군산림조합,거창군산림조합,69338000,6934,0.69,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667061,2026년 산림사업의 관리업무대행 조림사업(고제개명지구),거창군산림조합,거창군산림조합,84091000,8409,0.84,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667060,2026년 산림사업의 관리업무대행 조림사업(고제궁항지구),거창군산림조합,거창군산림조합,73823000,7382,0.74,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667059,2026년 산림사업의 관리업무대행 조림사업(고제봉산지구),거창군산림조합,거창군산림조합,70173000,7017,0.7,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667058,2026년 산림사업의 관리업무대행 조림사업(주상외지구),거창군산림조합,거창군산림조합,90486000,9049,0.9,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667057,2026년 산림사업의 관리업무대행 조림사업(가조지구),거창군산림조합,거창군산림조합,69808000,6981,0.7,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667056,2026년 산림사업의 관리업무대행 조림사업(가북지구),거창군산림조합,거창군산림조합,86730000,8673,0.87,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667055,2026년 산림사업의 관리업무대행 조림사업(가북외지구),거창군산림조합,거창군산림조합,60338000,6034,0.6,2026-02-25 11:45:26,수의계약,기타,재량계약,경상남도,송현민,055-944-7531
R26DD20667047,"2026년 상반기 소나무재선충병 방제사업(나무주사, 기번2)",산림청 동부지방산림청 삼척국유림관리소,산림청,74688000,7469,0.75,2026-02-25 11:35:18,지명경쟁,기타,재량계약,강원특별자치도,유남식,033-570-5226
R26DD20665941,2026년 차선유지관리공사 단가계약(3권역),광주광역시 광산구,광주광역시,99023000,9902,0.99,2026-02-24 16:35:18,제한경쟁,기타,재량계약,광주광역시,김예림,062-960-8633
R26DD20665871,영등포구청(5)역 등 2개소 전기실 기계설비 개량공사,서울교통공사,서울특별시,68714800,6871,0.69,2026-02-24 16:10:35,제한경쟁,전기공사,재량계약,서울특별시,서혁진,02-6110-5784
R26DD20667022,망정소하천 하상정비공사,경상북도 칠곡군,경상북도,45000000,4500,0.45,2026-02-25 11:27:58,수의계약,토목공사,소액수의,경상북도,박민광,054-979-6794
R26DD20667011,"2026년 당진시(송악,송산) 지방도 배수시설 정비공사",충청남도 건설본부 건설사업부 북부사무소,충청남도,91000000,9100,0.91,2026-02-25 11:23:34,수의계약,기타,재량계약,충청남도,박준열,041-635-7415
R26DD20666998,갈산동 화물차 공영차고지 조성사업 성토공사 ,경기도 이천시,경기도,53085617,5309,0.53,2026-02-25 11:19:55,수의계약,기타,재량계약,경기도,이수아,031-644-2296
R26DD20666996,2026년 태화강국가정원 계절정원 제초관리 사업,울산광역시,울산광역시,156966000,15697,1.57,2026-02-25 11:19:29,수의계약,기타,재량계약,울산광역시,장용운,052-229-7577
R26DD20666971,북면 오곡1리 수해복구공사,충청남도 천안시,충청남도,99530600,9953,1.0,2026-02-25 11:07:43,수의계약,기타,재량계약,충청남도,이상곤,041-521-5492
R26DD20665825,군도2호선(냉정리 563-6~918-1번지 일원) 보행자도로 정비공사,인천광역시 강화군,인천광역시,147180000,14718,1.47,2026-02-24 15:54:14,수의계약,토목공사,재량계약,인천광역시,도로교통시설팀,032-930-3738
R26DD20665824,소각로 및 부대시설 세정 공사,대구공공시설관리공단 성서사업처,대구광역시,134200000,13420,1.34,2026-02-24 15:53:57,일반경쟁,기타,재량계약,대구광역시,이성수,053-605-8403
R26DD20665817,2026년 김포 문수산성 경관조명 설치공사,경기도 김포시,경기도,120407790,12041,1.2,2026-02-24 15:51:45,수의계약,전기공사,재량계약,경기도,조진희,031-980-2114
R26DD20665801,2026년 신규 소화전 설치공사(남부),경기도 평택시 상하수도사업소,경기도,104370000,10437,1.04,2026-02-24 15:45:00,수의계약,소방공사,재량계약,경기도,유신,031-8024-5163
R26DD20665726,2026년 부천시 하수시설물 준설공사(단가1차),경기도 부천시,경기도,96585000,9658,0.97,2026-02-24 15:12:58,수의계약,기타,재량계약,경기도,김범수,032-625-4974
R26DD20666945,안양면 고당마을 배수로 설치공사,전라남도 장흥군,전라남도,35000000,3500,0.35,2026-02-25 10:52:36,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666907,2026년 상반기 도시숲(2권역) 연중관리 공사,경기도 의왕시,경기도,69949000,6995,0.7,2026-02-25 10:27:48,수의계약,기타,재량계약,경기도,유세리,031-345-3833
R26DD20666873,2026년 계류보전 사업,울산광역시 동구,울산광역시,166309000,16631,1.66,2026-02-25 10:15:05,수의계약,기타,재량계약,울산광역시,서인호,052-209-3764
R26DD20666855,운정호수공원 노후산책로 정비공사,경기도 파주시,경기도,171460000,17146,1.71,2026-02-25 10:08:28,수의계약,기타,재량계약,경기도,우용희,031-940-4986
R26DD20666854,2026년 소나무재선충병 방제사업(예방나무주사),산림청 북부지방산림청 인제국유림관리소,산림청,24621000,2462,0.25,2026-02-25 10:08:10,수의계약,기타,소액수의,강원특별자치도,김남호,033-460-8023
R26DD20666700,2026년 청원구 노후 가로·보안등 LED 교체 공사,충청북도 청주시 청원구,충청북도,198610000,19861,1.99,2026-02-25 09:45:23,수의계약,기타,재량계약,충청북도,이민석,043-201-8355
R26DD20666670,금빛도서관 동화구연실 조성 공사,충청북도 청주시 도서관평생학습본부,충청북도,9280000,928,0.09,2026-02-25 09:33:16,수의계약,기타,소액수의,충청북도,박민희,043-201-4053
R26DD20666603,야미도 어촌뉴딜300사업(토목) 전기공사,한국농어촌공사 전북지역본부 군산지사,한국농어촌공사,139067000,13907,1.39,2026-02-25 09:11:09,수의계약,전기공사,재량계약,전북특별자치도,박은미,063-440-5915
R26DD20666424,유치면 관동지구 배수로 정비사업,전라남도 장흥군,전라남도,36720000,3672,0.37,2026-02-24 22:50:43,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666417,부산면 금자리 배수로 정비공사,전라남도 장흥군,전라남도,45000000,4500,0.45,2026-02-24 22:09:52,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666405,진평동 인동20길 일원 도로정비공사,경상북도 구미시,경상북도,176180000,17618,1.76,2026-02-24 21:44:35,수의계약,토목공사,재량계약,경상북도,강민준,054-480-5485
R26DD20667408,장흥 월평 배수로 수해복구공사,전라남도 장흥군,전라남도,34970000,3497,0.35,2026-02-25 14:39:33,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666723,2026년 관광시설물 유지보수 공사(연간단가계약),울산광역시 북구,울산광역시,75350000,7535,0.75,2026-02-25 09:52:53,수의계약,기타,재량계약,울산광역시,정희수,052-241-7743
R26DD20666223,무을면 무이리 세천정비공사,경상북도 구미시,경상북도,99950000,9995,1.0,2026-02-24 18:18:53,수의계약,기타,재량계약,경상북도,김재현,054-480-5733
R26DD20666209,무을면 오가3리 마을안길 개선공사,경상북도 구미시,경상북도,34540000,3454,0.35,2026-02-24 18:10:38,수의계약,기타,소액수의,경상북도,김재현,054-480-5733
R26DD20666110,2026년 관내 하천 자전거 및 보행자도로 정비공사(연간단가),서울특별시 송파구,서울특별시,151200000,15120,1.51,2026-02-24 17:32:09,제한경쟁,토목공사,재량계약,서울특별시,이혜영,02-2147-2483
R26DD20666100,효령면 장기1리 압실보 용수로 개체공사,대구광역시 군위군,대구광역시,109900000,10990,1.1,2026-02-24 17:26:12,수의계약,기타,재량계약,대구광역시,장용진,054-380-6372
R26DD20665906,서원구청 LED 실내조명등 교체 공사,충청북도 청주시 서원구,충청북도,20731240,2073,0.21,2026-02-24 16:25:52,수의계약,전기공사,소액수의,충청북도,허문원,043-201-6045
R26DD20665867,사이클로 감속기 교체,(주)리뉴시스템,(주)리뉴시스템,80400000,8040,0.8,2026-02-24 16:09:03,일반경쟁,기타,재량계약,경기도,정지웅,02-414-0700
R26DD20665805,여성 친화도시 조성을 위한 보안등 LED 교체공사,충청북도 청주시 서원구,충청북도,56979000,5698,0.57,2026-02-24 15:46:58,수의계약,기타,재량계약,충청북도,이유찬,043-201-6042
R26DD20665715,2026년 용연수질개선사업소 조경관리공사,울산광역시,울산광역시,128370000,12837,1.28,2026-02-24 15:07:04,수의계약,조경공사,재량계약,울산광역시,성창섭,052-229-5942
R26DD20666305,두동 구미리(93-2) 뒷골지저수지 구거정비공사,울산광역시 울주군,울산광역시,48290000,4829,0.48,2026-02-24 19:42:34,수의계약,기타,소액수의,울산광역시,김희정,052-204-1553
R26DD20666294,안양 풍암지구 기계화 경작로 확포장공사,전라남도 장흥군,전라남도,30000000,3000,0.3,2026-02-24 19:32:02,수의계약,토목공사,소액수의,전라남도,최준환,061-860-6151
R26DD20666253,창평초 다목적강당 지붕누수 보수공사,전라남도교육청 전라남도담양교육지원청,전라남도교육청,51865000,5186,0.52,2026-02-24 18:45:15,수의계약,기타,재량계약,전라남도,김광식,061-380-8161
R26DD20665652,2026년 진도군 슬레이트 지붕해체 철거공사(1권역),사단법인 수생태보전협의회,사단법인 수생태보전협의회,174664730,17466,1.75,2026-02-24 14:50:44,수의계약,기타,재량계약,전라남도,한승완,062-674-9150
R26DD20665649,2026년 운정호수공원 잔디생육개선 연간단가 공사,경기도 파주시,경기도,77600000,7760,0.78,2026-02-24 14:49:50,수의계약,기타,재량계약,경기도,박현준,031-940-8710
R26DD20667411,흥남해수욕장 공중화장실 신축 전기공사,경상남도 거제시,경상남도,59480580,5948,0.59,2026-02-25 14:40:45,수의계약,전기공사,재량계약,경상남도,김효인,055-639-3526
R26DD20667198,2026년 가로수 전정 및 관리사업(하남읍 수산리 일원),경상남도 밀양시,경상남도,61710000,6171,0.62,2026-02-25 13:38:12,수의계약,기타,재량계약,경상남도,엄영식,055-359-5146
R26DD20667178,북문 남적동 옹벽 설치공사,경상북도 상주시,경상북도,138550000,13855,1.39,2026-02-25 13:34:00,수의계약,기타,재량계약,경상북도,채종규,054-537-6132
R26DD20667165,문장대 야영장 내 편의시설 확충 전기공사,경상북도 상주시,경상북도,53944000,5394,0.54,2026-02-25 13:31:30,수의계약,전기공사,재량계약,경상북도,채종규,054-537-6132
R26DD20667153,공검 화동리 아스콘 덧씌우기공사,경상북도 상주시,경상북도,65870000,6587,0.66,2026-02-25 13:29:49,수의계약,기타,재량계약,경상북도,채종규,054-537-6132
R26DD20667044,통영지점 전체 레이아웃 통신공사,중소기업은행,중소기업은행,42900000,4290,0.43,2026-02-25 11:32:19,지명경쟁,정보통신공사,소액수의,경상남도,오예나,02-729-7458
R26DD20667005,2026년 도로변 환경정비 공사(단가계약),부산광역시 금정구,부산광역시,50000000,5000,0.5,2026-02-25 11:22:13,수의계약,토목공사,소액수의,부산광역시,박소현,051-519-4637
R26DD20667003,[당진]지방도647호 대호지지구 배수시설 정비공사,충청남도 건설본부 건설사업부 북부사무소,충청남도,116390000,11639,1.16,2026-02-25 11:21:16,수의계약,기타,재량계약,충청남도,박준열,041-635-7415
R26DD20667333,황남 배동 관정 분기관 긴급설치공사 시행,경상북도 경주시 황남동,경상북도,936000,94,0.01,2026-02-25 14:16:03,수의계약,기타,소액수의,경상북도,박보령,054-779-8397
R26DD20667241,범서 척과 1178 구거정비공사,울산광역시 울주군,울산광역시,99130000,9913,0.99,2026-02-25 13:50:09,수의계약,기타,재량계약,울산광역시,박진형,052-204-1552
R26DD20667223,성산면 위촌리 116 일원 농로포장 정비공사,강원특별자치도 강릉시 농업기술센터,강원특별자치도,59400000,5940,0.59,2026-02-25 13:41:30,수의계약,토목공사,재량계약,강원특별자치도,김소현,033-640-5293
R26DD20666798,본관동 3층 환경개선 통신공사,한국원자력연구원,한국원자력연구원,56947000,5695,0.57,2026-02-25 09:58:07,제한경쟁,정보통신공사,재량계약,대전광역시,김도경,042-866-6101
R26DD20666797,2026년 상반기 소나무재선충병 방제사업(홍천-3),산림청 북부지방산림청 홍천국유림관리소,산림청,130489000,13049,1.3,2026-02-25 09:58:04,지명경쟁,기타,재량계약,강원특별자치도,권창호,033-439-5520
R26DD20666969,2026년 상반기 소나무재선충병 방제사업(제1차),산림청 북부지방산림청 춘천국유림관리소,산림청,129255000,12926,1.29,2026-02-25 11:06:55,지명경쟁,기타,재량계약,강원특별자치도,김민수,033-240-9930
R26DD20666956,몽촌토성 발굴현장 내 위험수목 정비공사,한성백제박물관,서울특별시,7570000,757,0.08,2026-02-25 10:58:26,수의계약,조경공사,소액수의,서울특별시,이지혜,02-2152-5842
R26DD20666950,남지도시계획도로 중로1-6호(남지고등학교 옆) 가각정비공사,경상남도 창녕군,경상남도,64200000,6420,0.64,2026-02-25 10:56:15,수의계약,토목공사,재량계약,경상남도,이문희,055-530-1883
R26DD20666789,장흥 연산1구지구 흙수로 구조물화사업,전라남도 장흥군,전라남도,58660000,5866,0.59,2026-02-25 09:55:11,수의계약,기타,재량계약,전라남도,임재연,061-860-6154
R26DD20666611,2026년 상반기 소나무재선충병 방제사업(원주),산림청 북부지방산림청 홍천국유림관리소,산림청,48099000,4810,0.48,2026-02-25 09:13:10,지명경쟁,기타,소액수의,강원특별자치도,권창오,033-439-5520
R26DD20666575,세내교 보수보강공사,전북특별자치도 전주시 완산구,전북특별자치도,172849000,17285,1.73,2026-02-25 08:58:23,수의계약,기타,재량계약,전북특별자치도,배종휘,063-220-5487
R26DD20666551,2026년 상반기 소나무재선충병 방제사업(횡성),산림청 북부지방산림청 홍천국유림관리소,산림청,71131000,7113,0.71,2026-02-25 08:41:43,지명경쟁,기타,재량계약,강원특별자치도,김소연,033-439-5515
R26DD20667309,호계면 우로리(252-1)  소교량 설치공사 ,경상북도 문경시 호계면,경상북도,92030000,9203,0.92,2026-02-25 14:12:20,수의계약,토목공사,재량계약,경상북도,변미정,054-550-8646
R26DD20667304,2026년 강화군 블록정비공사(연간단가),인천광역시 상수도사업본부,인천광역시,199991000,19999,2.0,2026-02-25 14:10:32,수의계약,기타,재량계약,인천광역시,한대동,032-720-2093
R26DD20666912,길곡면 노후 보안등 보수공사,경상남도 창녕군,경상남도,63179900,6318,0.63,2026-02-25 10:29:28,수의계약,기타,재량계약,경상남도,김대희,055-530-1784
R26DD20666904,화정로260번길 일원 외 4개소 도로정비공사,광주광역시 남구,광주광역시,78230000,7823,0.78,2026-02-25 10:26:11,수의계약,토목공사,재량계약,광주광역시,박장훈,062-607-4023
R26DD20666232,옥성면 초곡리 423번지 일원 농로 확장공사,경상북도 구미시,경상북도,93140000,9314,0.93,2026-02-24 18:28:08,수의계약,기타,재량계약,경상북도,김재현,054-480-5733
R26DD20666212,옥성면 산촌리 마을안길 정비공사 ,경상북도 구미시,경상북도,42700000,4270,0.43,2026-02-24 18:11:48,수의계약,기타,소액수의,경상북도,김재현,054-480-5733
R26DD20666120,신풍면 조평리(267-2) 수해복구공사,충청남도 공주시,충청남도,96400000,9640,0.96,2026-02-24 17:33:56,수의계약,기타,재량계약,충청남도,이상원,041-840-7612
R26DD20667073,광역권역별 친환경 농업도시 충전 인프라 조성사업(1권역)구축공사,채비(주),,144057577,14406,1.44,2026-02-25 12:09:10,일반경쟁,기타,재량계약,경기도,강동협,***********
R26DD20666393,달전리 배수로 및 도로 정비공사,세종특별자치시,세종특별자치시,115840000,11584,1.16,2026-02-24 21:11:39,수의계약,토목공사,재량계약,,박세윤,044-300-5233
R26DD20666386,부용리 도로 및 배수로 정비,세종특별자치시,세종특별자치시,115580000,11558,1.16,2026-02-24 21:07:43,수의계약,토목공사,재량계약,,박세윤,044-300-5233
R26DD20666384,2026 대술면 이티리 세천정비공사(수해복구),충청남도 예산군,충청남도,50557000,5056,0.51,2026-02-24 21:00:24,수의계약,기타,재량계약,충청남도,김지훈,041-339-7687
R26DD20666378,장동면 조양1구 용수로 정비사업,전라남도 장흥군,전라남도,44430000,4443,0.44,2026-02-24 20:52:13,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666341,범서 구영 중촌마을 구거정비공사 ,울산광역시 울주군,울산광역시,64750000,6475,0.65,2026-02-24 20:07:58,수의계약,기타,재량계약,울산광역시,박진형,052-204-1552
R26DD20666636,2026년 안산읍성 및 관아지 잔디관리공사,경기도 안산시,경기도,62380000,6238,0.62,2026-02-25 09:22:33,수의계약,기타,재량계약,경기도,심민석,031-481-3437
R26DD20666425,장흥 평장지구 흙수로 구조물화사업,전라남도 장흥군,전라남도,41800000,4180,0.42,2026-02-24 23:11:30,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20665826,소각로 내화물 보수공사,대구공공시설관리공단 성서사업처,대구광역시,152900000,15290,1.53,2026-02-24 15:55:03,일반경쟁,기타,재량계약,대구광역시,이성수,053-605-8403
R26DD20667010,사랑의집 에덴 간이스프링쿨러 설치 소방공사,사랑의집 에덴,사랑의집 에덴,33600000,3360,0.34,2026-02-25 11:23:02,수의계약,소방공사,소액수의,충청남도,김동원,041-531-8696
R26DD20666383,2026 고덕면 호음1리 마을안길 및 세천 정비공사(수해복구),충청남도 예산군,충청남도,128882000,12888,1.29,2026-02-24 20:59:51,수의계약,기타,재량계약,충청남도,김지훈,041-339-7687
R26DD20666252,내남 용장1리 신평들 용배수로 정비공사,경상북도 경주시,경상북도,92310000,9231,0.92,2026-02-24 18:43:51,수의계약,기타,재량계약,경상북도,김도정,054-779-6413
R26DD20666107,효령면 불로리 새보들 용배수로 정비공사,대구광역시 군위군,대구광역시,199000000,19900,1.99,2026-02-24 17:30:23,수의계약,기타,재량계약,대구광역시,장용진,054-380-6372
R26DD20666103,2026년 노면표시 정비 공사(연간단가),서울특별시 마포구,서울특별시,149649790,14965,1.5,2026-02-24 17:26:33,제한경쟁,기타,재량계약,서울특별시,김태성,02-3153-9644
R26DD20666069,토진리 504-4번지 일원 배수로 정비공사,경기도 평택시,경기도,117100000,11710,1.17,2026-02-24 17:12:10,수의계약,기타,재량계약,경기도,김민규,031-8024-3661
R26DD20666001,속초시민약국 앞 가속차로 설치공사(전기),강원특별자치도 속초시,강원특별자치도,45809000,4581,0.46,2026-02-24 16:55:06,수의계약,전기공사,소액수의,강원특별자치도,김상유,033-639-2487
R26DD20667345,2026년 공원 녹지 수목 수형조절 공사,인천광역시 연수구,인천광역시,154875000,15488,1.55,2026-02-25 14:21:04,수의계약,조경공사,재량계약,인천광역시,이선아,032-749-8692
R26DD20665938,2026년 차선유지관리공사 단가계약(2권역),광주광역시 광산구,광주광역시,99023000,9902,0.99,2026-02-24 16:34:40,제한경쟁,기타,재량계약,광주광역시,김예림,062-960-8633
R26DD20665936,2026년 차선유지관리공사 단가계약(1권역),광주광역시 광산구,광주광역시,89992000,8999,0.9,2026-02-24 16:33:57,제한경쟁,기타,재량계약,광주광역시,김예림,062-960-8633
R26DD20665926,연산면 청동리 인도 보수공사(시도20호),충청남도 논산시,충청남도,47900000,4790,0.48,2026-02-24 16:30:56,수의계약,기타,소액수의,충청남도,송영빈,041-746-6275
R26DD20665921,송도로 일원 우수관로 개선공사,광주광역시 광산구,광주광역시,91800000,9180,0.92,2026-02-24 16:29:58,제한경쟁,토목공사,재량계약,광주광역시,송건,062-960-8574
R26DD20665757,진보면 시량1리 농로정비공사,경상북도 청송군,경상북도,60780000,6078,0.61,2026-02-24 15:27:35,수의계약,기타,재량계약,경상북도,박진수,054-870-6093
R26DD20665756,안덕면 문거1리 달밭골 사면정비공사,경상북도 청송군,경상북도,68500000,6850,0.69,2026-02-24 15:27:35,수의계약,기타,재량계약,경상북도,이민우,054-870-6095
R26DD20666404,장흥 송암리 용배수로 정비공사,전라남도 장흥군,전라남도,49340000,4934,0.49,2026-02-24 21:44:00,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666093,2026년 도로교통시설 노면표시 유지보수공사(연간단가),서울특별시 송파구,서울특별시,171100000,17110,1.71,2026-02-24 17:21:53,제한경쟁,토목공사,재량계약,서울특별시,이혜영,02-2147-2483
R26DD20666089,북상천(세천) 정비사업 경관조명 설치공사,전라남도 진도군,전라남도,194948000,19495,1.95,2026-02-24 17:21:10,수의계약,전기공사,재량계약,전라남도,이창익,061-540-3480
R26DD20666061,욕지 연화마을 상수관로 매설공사,경상남도 통영시,경상남도,91900000,9190,0.92,2026-02-24 17:08:57,수의계약,기타,재량계약,경상남도,박태영,055-650-6432
R26DD20666048,강화군 축구장 인조잔디 하부 레벨링 및 다짐공사,인천광역시 강화군,인천광역시,99869000,9987,1.0,2026-02-24 17:06:43,수의계약,기타,재량계약,인천광역시,문화체육시설팀,032-930-3923
R26DD20665989,2026년 화정1지구 도시공원 녹지관리공사,경기도 고양시,경기도,125053000,12505,1.25,2026-02-24 16:50:44,수의계약,기타,재량계약,경기도,정다혜,031-8075-4319
